"AÑO","SEMESTRE","SEXO BIOLOGICO","PROGRAMA","PAIS NACIMIENTO","DEPARTAMENTO NACIMIENTO","MUNICIPIO NACIMIENTO","NUMERO MATERIAS INSCRITAS","NUMERO MATERIAS APROBADAS","NIVEL_ACADEMICO","ESTRATO"
"2024","2","M","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Medellín","8","6","Pregrado","2"
"2024","2","M","Ingeniería de Software y Datos","Colombia","Norte de Santander","San José de Cúcuta","6","6","Pregrado","2"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS Y HOTELERAS","Colombia","Magdalena","Plato","7","4","Pregrado","1"
"2024","2","M","INGENIERÍA MECATRÓNICA","Colombia","Santander","Bucaramanga","7","0","Pregrado","3"
"2024","2","F","TRABAJO SOCIAL","Colombia","Antioquia","Santa Bárbara","6","5","Pregrado","2"
"2024","2","F","TRABAJO SOCIAL","Colombia","Santander","Barrancabermeja","5","3","Pregrado","1"
"2024","2","M","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Magdalena","El Banco","8","8","Pregrado","1"
"2024","2","F","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Bolívar","Cartagena de Indias","8","8","Pregrado","1"
"2024","2","F","PUBLICIDAD Y MERCADEO DIGITAL","Colombia","Magdalena","Plato","8","8","Pregrado","1"
"2024","2","F","TECNOLOGÍA EN DESARROLLO COMUNITARIO","Colombia","Magdalena","Santa Ana","5","4","Pregrado","1"
"2024","2","F","PUBLICIDAD Y MERCADEO DIGITAL","Colombia","Antioquia","La Ceja","8","6","Pregrado","2"
"2024","2","M","ADMINISTRACIÓN DE EMPRESAS","Colombia","Cesar","Gamarra","6","6","Pregrado","2"
"2024","2","M","TRABAJO SOCIAL","Colombia","Antioquia","La Ceja","6","6","Pregrado","3"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Fredonia","7","4","Pregrado","3"
"2024","2","F","PUBLICIDAD Y MERCADEO DIGITAL","Colombia","Antioquia","La Ceja","8","0","Pregrado","3"
"2024","2","F","CIENCIAS AMBIENTALES","Colombia","Antioquia","Caucasia","7","7","Pregrado","1"
"2024","2","F","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Antioquia","San Rafael","8","7","Pregrado","3"
"2024","2","F","TRABAJO SOCIAL","Colombia","Antioquia","San Juan de Urabá","5","5","Pregrado","1"
"2024","2","F","TRABAJO SOCIAL","Colombia","Antioquia","Arboletes","4","4","Pregrado","3"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","La Unión","8","7","Pregrado","2"
"2024","2","M","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Medellín","8","8","Pregrado","2"
"2024","2","M","TECNOLOGIA EN GESTION CATASTRAL Y AGRIMENSURA","Colombia","Valle del Cauca","Santiago de Cali","8","8","Pregrado","3"
"2024","2","M","ESPECIALIZACIÓN EN ANÁLITICA Y  BIG DATA","Colombia","Bogotá, D.C.","Bogotá, D.C.","2","0","Posgrado","2"
"2024","2","M","ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS","Colombia","Antioquia","Medellín","6","6","Posgrado","2"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS Y HOTELERAS","Colombia","Magdalena","Ariguaní","6","4","Pregrado","1"
"2024","2","M","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Antioquia","La Ceja","8","8","Pregrado","3"
"2024","2","M","TRABAJO SOCIAL","Colombia","Córdoba","Montería","5","0","Pregrado","2"
"2024","2","F","TRABAJO SOCIAL","Colombia","Antioquia","Medellín","8","8","Pregrado","1"
"2024","2","F","Licenciatura en Educación Básica Primaria","Colombia","Magdalena","San Sebastián de Buenavista","6","6","Pregrado","1"
"2024","2","M","TRABAJO SOCIAL","Colombia","Magdalena","San Sebastián de Buenavista","6","4","Pregrado","1"
"2024","2","F","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Bolívar","Cartagena de Indias","8","0","Pregrado","3"
"2024","2","F","TRABAJO SOCIAL","Colombia","Antioquia","Puerto Triunfo","5","5","Pregrado","1"
"2024","2","F","TECNOLOGÍA EN DESARROLLO COMUNITARIO","Colombia","Antioquia","San Pedro de Urabá","5","5","Pregrado","1"
"2024","2","F","CIENCIAS AMBIENTALES","Colombia","Antioquia","Nechí","7","7","Pregrado","1"
"2024","2","M","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Nechí","8","8","Pregrado","1"
"2024","2","F","TRABAJO SOCIAL","Colombia","Antioquia","Nechí","6","6","Pregrado","1"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Remedios","8","8","Pregrado","2"
"2024","2","F","CIENCIAS AMBIENTALES","Colombia","Antioquia","Caicedo","7","7","Pregrado","1"
"2024","2","F","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Cauca","Popayán","8","8","Pregrado","2"
"2024","2","F","TRABAJO SOCIAL","Colombia","Bolívar","Santa Catalina","6","6","Pregrado","1"
"2024","2","F","PUBLICIDAD Y MERCADEO DIGITAL","Colombia","Antioquia","Medellín","7","6","Pregrado","3"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","La Ceja","8","8","Pregrado","3"
"2024","2","M","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Medellín","8","6","Pregrado","2"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Medellín","8","8","Pregrado","2"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Medellín","9","9","Pregrado","3"
